Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
508.12	3.0607	45.538	0.021960	18.193	18.260	47.845	57.651	85.174	1208.8	-0.029405	113.59	0.63203	0.029574	0.84957	1.1771	46.897	50.500	111.29	42.109	65.517	503.92	18.169	16.881	0.046205
508.74	3.0951	45.490	0.021983	18.246	18.314	47.948	57.617	85.269	1206.4	-0.028073	113.27	0.63144	0.029428	0.85916	1.1639	46.897	50.500	111.21	42.202	65.771	503.85	18.075	16.904	0.046365
509.36	3.1297	45.442	0.022006	18.298	18.367	48.051	57.583	85.365	1203.9	-0.026729	112.95	0.63085	0.029282	0.86884	1.1510	46.898	50.500	111.14	42.295	66.026	503.78	17.981	16.926	0.046526
509.99	3.1647	45.394	0.022029	18.351	18.420	48.154	57.549	85.462	1201.5	-0.025373	112.64	0.63025	0.029136	0.87862	1.1381	46.898	50.500	111.06	42.389	66.284	503.71	17.888	16.948	0.046688
510.61	3.2000	45.346	0.022053	18.403	18.474	48.257	57.515	85.559	1199.1	-0.024006	112.32	0.62965	0.028990	0.88849	1.1255	46.898	50.499	110.98	42.482	66.543	503.64	17.796	16.971	0.046851
511.23	3.2356	45.298	0.022076	18.456	18.527	48.360	57.482	85.658	1196.6	-0.022627	112.01	0.62905	0.028844	0.89846	1.1130	46.897	50.499	110.90	42.576	66.805	503.57	17.704	16.993	0.047015
511.86	3.2714	45.250	0.022100	18.508	18.581	48.463	57.448	85.757	1194.2	-0.021236	111.70	0.62844	0.028698	0.90852	1.1007	46.897	50.498	110.82	42.670	67.069	503.49	17.613	17.015	0.047180
512.48	3.3076	45.201	0.022123	18.561	18.634	48.566	57.415	85.858	1191.7	-0.019833	111.39	0.62783	0.028551	0.91867	1.0885	46.897	50.497	110.74	42.764	67.334	503.41	17.523	17.038	0.047345
513.10	3.3441	45.152	0.022147	18.614	18.688	48.669	57.382	85.959	1189.2	-0.018417	111.08	0.62722	0.028405	0.92892	1.0765	46.896	50.496	110.66	42.858	67.602	503.32	17.433	17.060	0.047512
513.73	3.3809	45.104	0.022171	18.666	18.741	48.772	57.349	86.062	1186.7	-0.016989	110.77	0.62660	0.028259	0.93927	1.0647	46.895	50.495	110.58	42.953	67.873	503.24	17.344	17.083	0.047679
514.35	3.4180	45.055	0.022195	18.719	18.795	48.875	57.316	86.165	1184.3	-0.015549	110.47	0.62598	0.028112	0.94972	1.0529	46.895	50.494	110.50	43.048	68.145	503.15	17.255	17.106	0.047848
514.97	3.4554	45.005	0.022220	18.772	18.849	48.978	57.283	86.269	1181.8	-0.014096	110.16	0.62536	0.027966	0.96027	1.0414	46.894	50.492	110.42	43.143	68.420	503.06	17.167	17.128	0.048017
515.60	3.4932	44.956	0.022244	18.825	18.903	49.081	57.250	86.375	1179.3	-0.012630	109.86	0.62473	0.027820	0.97092	1.0300	46.893	50.491	110.35	43.239	68.697	502.97	17.079	17.151	0.048188
516.22	3.5312	44.907	0.022268	18.878	18.957	49.183	57.218	86.481	1176.7	-0.011151	109.56	0.62410	0.027673	0.98167	1.0187	46.892	50.489	110.27	43.334	68.976	502.87	16.992	17.174	0.048359
516.84	3.5696	44.857	0.022293	18.931	19.011	49.286	57.185	86.588	1174.2	-0.0096586	109.26	0.62347	0.027527	0.99252	1.0075	46.891	50.487	110.19	43.430	69.258	502.77	16.905	17.196	0.048531
517.46	3.6083	44.807	0.022318	18.984	19.065	49.389	57.153	86.697	1171.7	-0.0081529	108.96	0.62283	0.027380	1.0035	0.99654	46.889	50.485	110.11	43.527	69.542	502.67	16.819	17.219	0.048705
518.09	3.6473	44.757	0.022343	19.037	19.119	49.492	57.121	86.806	1169.2	-0.0066337	108.66	0.62219	0.027234	1.0145	0.98568	46.888	50.483	110.03	43.623	69.829	502.57	16.734	17.242	0.048879
518.71	3.6866	44.707	0.022368	19.090	19.173	49.595	57.089	86.917	1166.6	-0.0051008	108.36	0.62155	0.027087	1.0257	0.97495	46.886	50.481	109.95	43.720	70.118	502.46	16.649	17.265	0.049055
519.33	3.7263	44.657	0.022393	19.144	19.227	49.697	57.057	87.029	1164.1	-0.0035540	108.07	0.62091	0.026941	1.0370	0.96435	46.885	50.478	109.87	43.817	70.409	502.35	16.564	17.288	0.049232
519.96	3.7662	44.606	0.022418	19.197	19.281	49.800	57.025	87.141	1161.5	-0.0019931	107.77	0.62026	0.026794	1.0483	0.95389	46.883	50.475	109.79	43.914	70.703	502.24	16.480	17.311	0.049409
520.58	3.8065	44.556	0.022444	19.250	19.336	49.903	56.994	87.255	1158.9	-0.00041788	107.48	0.61961	0.026647	1.0598	0.94355	46.881	50.473	109.71	44.011	71.000	502.12	16.397	17.334	0.049588
521.20	3.8472	44.505	0.022469	19.304	19.390	50.005	56.962	87.370	1156.3	0.0011718	107.19	0.61895	0.026501	1.0714	0.93334	46.879	50.470	109.64	44.109	71.299	502.01	16.314	17.357	0.049768
521.83	3.8881	44.454	0.022495	19.357	19.445	50.108	56.931	87.486	1153.8	0.0027761	106.90	0.61829	0.026354	1.0831	0.92326	46.877	50.467	109.56	44.207	71.601	501.89	16.232	17.380	0.049949
522.45	3.9294	44.403	0.022521	19.411	19.499	50.211	56.900	87.604	1151.2	0.0043952	106.61	0.61763	0.026208	1.0949	0.91329	46.875	50.463	109.48	44.305	71.906	501.76	16.150	17.403	0.050131
523.07	3.9711	44.352	0.022547	19.464	19.554	50.314	56.869	87.722	1148.6	0.0060294	106.32	0.61697	0.026061	1.1069	0.90345	46.872	50.460	109.40	44.404	72.213	501.64	16.068	17.426	0.050314
523.70	4.0130	44.300	0.022573	19.518	19.608	50.416	56.838	87.842	1146.0	0.0076788	106.03	0.61630	0.025914	1.1189	0.89373	46.870	50.456	109.32	44.503	72.523	501.51	15.988	17.450	0.050498
524.32	4.0553	44.249	0.022600	19.572	19.663	50.519	56.808	87.963	1143.3	0.0093436	105.75	0.61563	0.025768	1.1311	0.88413	46.867	50.453	109.24	44.602	72.836	501.38	15.907	17.473	0.050684
524.94	4.0980	44.197	0.022626	19.625	19.718	50.622	56.777	88.085	1140.7	0.011024	105.46	0.61496	0.025621	1.1433	0.87464	46.864	50.449	109.16	44.701	73.152	501.24	15.827	17.496	0.050871
525.57	4.1410	44.145	0.022653	19.679	19.773	50.724	56.747	88.208	1138.1	0.012720	105.18	0.61428	0.025474	1.1557	0.86527	46.862	50.445	109.08	44.801	73.471	501.11	15.748	17.520	0.051058
526.19	4.1843	44.093	0.022680	19.733	19.828	50.827	56.717	88.333	1135.4	0.014433	104.90	0.61360	0.025327	1.1682	0.85600	46.859	50.440	109.00	44.901	73.793	500.97	15.669	17.543	0.051248
526.81	4.2280	44.040	0.022706	19.787	19.883	50.929	56.687	88.459	1132.8	0.016162	104.61	0.61291	0.025181	1.1808	0.84685	46.856	50.436	108.93	45.001	74.118	500.82	15.591	17.567	0.051438
527.44	4.2720	43.988	0.022734	19.841	19.938	51.032	56.657	88.586	1130.1	0.017907	104.33	0.61223	0.025034	1.1936	0.83781	46.852	50.431	108.85	45.102	74.445	500.68	15.513	17.590	0.051629
528.06	4.3164	43.935	0.022761	19.895	19.993	51.135	56.627	88.715	1127.4	0.019669	104.05	0.61154	0.024887	1.2064	0.82888	46.849	50.427	108.77	45.203	74.776	500.53	15.435	17.614	0.051822
528.68	4.3612	43.882	0.022788	19.949	20.048	51.237	56.598	88.845	1124.8	0.021448	103.78	0.61084	0.024741	1.2194	0.82005	46.845	50.422	108.69	45.304	75.110	500.38	15.358	17.638	0.052016
529.31	4.4062	43.829	0.022816	20.003	20.104	51.340	56.568	88.976	1122.1	0.023244	103.50	0.61015	0.024594	1.2325	0.81133	46.842	50.417	108.61	45.405	75.448	500.22	15.281	17.662	0.052212
529.93	4.4517	43.776	0.022844	20.057	20.159	51.443	56.539	89.109	1119.4	0.025058	103.22	0.60945	0.024447	1.2458	0.80271	46.838	50.411	108.53	45.507	75.788	500.07	15.205	17.685	0.052408
530.55	4.4975	43.723	0.022871	20.112	20.215	51.545	56.510	89.243	1116.7	0.026889	102.95	0.60875	0.024300	1.2591	0.79419	46.834	50.406	108.45	45.609	76.132	499.91	15.130	17.709	0.052606
531.18	4.5436	43.669	0.022900	20.166	20.270	51.648	56.481	89.378	1114.0	0.028738	102.67	0.60804	0.024154	1.2726	0.78578	46.830	50.400	108.37	45.712	76.479	499.74	15.054	17.733	0.052806
531.80	4.5902	43.615	0.022928	20.220	20.326	51.751	56.452	89.515	1111.3	0.030606	102.40	0.60733	0.024007	1.2862	0.77746	46.826	50.395	108.29	45.814	76.830	499.58	14.979	17.757	0.053006
532.42	4.6371	43.561	0.022956	20.275	20.381	51.853	56.424	89.654	1108.5	0.032491	102.13	0.60662	0.023860	1.3000	0.76924	46.822	50.389	108.21	45.917	77.184	499.41	14.905	17.781	0.053209
533.05	4.6843	43.507	0.022985	20.330	20.437	51.956	56.395	89.794	1105.8	0.034396	101.86	0.60590	0.023713	1.3139	0.76112	46.817	50.383	108.13	46.021	77.541	499.24	14.831	17.805	0.053412
533.67	4.7319	43.453	0.023014	20.384	20.493	52.059	56.367	89.935	1103.0	0.036320	101.59	0.60518	0.023567	1.3279	0.75309	46.813	50.376	108.05	46.124	77.902	499.06	14.758	17.830	0.053617
534.29	4.7799	43.398	0.023043	20.439	20.549	52.161	56.339	90.078	1100.3	0.038262	101.32	0.60446	0.023420	1.3420	0.74515	46.808	50.370	107.97	46.228	78.267	498.88	14.685	17.854	0.053823
534.92	4.8283	43.343	0.023072	20.494	20.605	52.264	56.311	90.223	1097.5	0.040225	101.05	0.60373	0.023273	1.3563	0.73731	46.803	50.363	107.90	46.333	78.636	498.70	14.612	17.878	0.054031
535.54	4.8770	43.288	0.023101	20.548	20.661	52.367	56.283	90.369	1094.8	0.042207	100.78	0.60300	0.023127	1.3707	0.72955	46.798	50.356	107.82	46.437	79.008	498.52	14.540	17.903	0.054241
536.16	4.9261	43.233	0.023130	20.603	20.717	52.469	56.255	90.517	1092.0	0.044209	100.52	0.60227	0.022980	1.3853	0.72189	46.793	50.349	107.74	46.542	79.384	498.33	14.468	17.927	0.054451
536.78	4.9756	43.178	0.023160	20.658	20.774	52.572	56.228	90.666	1089.2	0.046232	100.25	0.60154	0.022833	1.3999	0.71431	46.788	50.342	107.66	46.648	79.764	498.14	14.397	17.952	0.054664
537.41	5.0254	43.122	0.023190	20.713	20.830	52.675	56.201	90.817	1086.4	0.048275	99.986	0.60080	0.022687	1.4148	0.70683	46.782	50.335	107.58	46.753	80.148	497.94	14.326	17.977	0.054878
538.03	5.0757	43.066	0.023220	20.768	20.886	52.778	56.174	90.970	1083.6	0.050340	99.722	0.60006	0.022540	1.4298	0.69942	46.777	50.327	107.50	46.859	80.536	497.75	14.255	18.001	0.055093
538.65	5.1263	43.011	0.023250	20.824	20.943	52.880	56.147	91.124	1080.8	0.052425	99.459	0.59931	0.022394	1.4449	0.69210	46.771	50.319	107.42	46.966	80.928	497.55	14.185	18.026	0.055310
539.28	5.1773	42.954	0.023281	20.879	20.999	52.983	56.120	91.281	1077.9	0.054533	99.196	0.59856	0.022247	1.4601	0.68487	46.765	50.311	107.34	47.072	81.324	497.34	14.115	18.051	0.055529
539.90	5.2287	42.898	0.023311	20.934	21.056	53.086	56.094	91.439	1075.1	0.056662	98.935	0.59781	0.022100	1.4755	0.67772	46.759	50.303	107.26	47.180	81.725	497.13	14.046	18.076	0.055749
540.52	5.2805	42.841	0.023342	20.990	21.113	53.189	56.067	91.598	1072.2	0.058813	98.674	0.59705	0.021954	1.4911	0.67065	46.753	50.295	107.18	47.287	82.129	496.92	13.977	18.101	0.055971
541.15	5.3327	42.785	0.023373	21.045	21.170	53.292	56.041	91.760	1069.4	0.060987	98.415	0.59630	0.021807	1.5068	0.66366	46.747	50.286	107.10	47.395	82.539	496.71	13.908	18.126	0.056195
541.77	5.3852	42.728	0.023404	21.101	21.227	53.395	56.015	91.924	1066.5	0.063185	98.156	0.59553	0.021661	1.5227	0.65674	46.740	50.277	107.02	47.503	82.952	496.49	13.840	18.151	0.056420
542.39	5.4382	42.670	0.023435	21.156	21.284	53.497	55.989	92.089	1063.7	0.065405	97.897	0.59477	0.021514	1.5387	0.64991	46.734	50.268	106.94	47.612	83.370	496.27	13.772	18.177	0.056648
543.02	5.4916	42.613	0.023467	21.212	21.341	53.600	55.964	92.257	1060.8	0.067649	97.640	0.59400	0.021368	1.5548	0.64315	46.727	50.259	106.86	47.720	83.793	496.05	13.704	18.202	0.056877
543.64	5.5453	42.555	0.023499	21.268	21.398	53.703	55.938	92.426	1057.9	0.069917	97.383	0.59323	0.021222	1.5712	0.63647	46.720	50.250	106.77	47.830	84.221	495.82	13.637	18.228	0.057107
544.26	5.5995	42.497	0.023531	21.324	21.455	53.806	55.913	92.597	1055.0	0.072210	97.127	0.59245	0.021075	1.5876	0.62986	46.713	50.240	106.69	47.939	84.653	495.59	13.571	18.253	0.057340
544.89	5.6540	42.439	0.023563	21.379	21.513	53.909	55.888	92.771	1052.1	0.074527	96.872	0.59167	0.020929	1.6043	0.62333	46.706	50.230	106.61	48.050	85.090	495.36	13.504	18.279	0.057574
545.51	5.7090	42.381	0.023596	21.435	21.570	54.012	55.863	92.946	1049.2	0.076870	96.617	0.59089	0.020783	1.6211	0.61687	46.699	50.220	106.53	48.160	85.532	495.12	13.438	18.305	0.057811
546.13	5.7644	42.322	0.023628	21.492	21.628	54.116	55.839	93.124	1046.2	0.079238	96.364	0.59011	0.020636	1.6381	0.61048	46.691	50.210	106.45	48.271	85.979	494.88	13.373	18.331	0.058049
546.76	5.8202	42.264	0.023661	21.548	21.685	54.219	55.814	93.304	1043.3	0.081632	96.110	0.58932	0.020490	1.6552	0.60416	46.683	50.200	106.37	48.382	86.432	494.64	13.307	18.357	0.058290
547.38	5.8764	42.204	0.023694	21.604	21.743	54.322	55.790	93.485	1040.4	0.084052	95.858	0.58852	0.020344	1.6725	0.59791	46.675	50.189	106.29	48.494	86.889	494.39	13.242	18.383	0.058532
548.00	5.9330	42.145	0.023727	21.660	21.801	54.425	55.766	93.670	1037.4	0.086500	95.606	0.58773	0.020198	1.6900	0.59173	46.667	50.178	106.21	48.606	87.352	494.14	13.178	18.409	0.058776
548.63	5.9900	42.086	0.023761	21.717	21.859	54.528	55.742	93.856	1034.4	0.088974	95.355	0.58693	0.020052	1.7076	0.58562	46.659	50.167	106.13	48.718	87.820	493.88	13.113	18.435	0.059023
549.25	6.0474	42.026	0.023795	21.773	21.917	54.632	55.718	94.045	1031.5	0.091476	95.104	0.58613	0.019906	1.7254	0.57958	46.651	50.156	106.04	48.831	88.294	493.63	13.050	18.462	0.059271
549.87	6.1053	41.966	0.023829	21.830	21.975	54.735	55.695	94.236	1028.5	0.094007	94.854	0.58532	0.019760	1.7434	0.57360	46.642	50.144	105.96	48.945	88.774	493.36	12.986	18.488	0.059522
550.50	6.1636	41.906	0.023863	21.886	22.034	54.838	55.672	94.429	1025.5	0.096566	94.605	0.58451	0.019614	1.7615	0.56768	46.634	50.133	105.88	49.058	89.259	493.10	12.923	18.515	0.059775
551.12	6.2223	41.845	0.023898	21.943	22.092	54.942	55.649	94.625	1022.5	0.099154	94.356	0.58370	0.019468	1.7799	0.56183	46.625	50.121	105.80	49.172	89.750	492.83	12.860	18.542	0.060030
551.74	6.2814	41.785	0.023932	22.000	22.150	55.045	55.626	94.824	1019.5	0.10177	94.108	0.58288	0.019322	1.7984	0.55605	46.616	50.108	105.72	49.287	90.248	492.56	12.797	18.568	0.060288
552.37	6.3410	41.724	0.023967	22.057	22.209	55.149	55.604	95.025	1016.4	0.10442	93.861	0.58206	0.019176	1.8171	0.55032	46.606	50.096	105.64	49.402	90.751	492.28	12.735	18.595	0.060547
552.99	6.4010	41.663	0.024002	22.114	22.268	55.252	55.581	95.228	1013.4	0.10710	93.614	0.58124	0.019031	1.8360	0.54466	46.597	50.083	105.55	49.518	91.260	492.00	12.673	18.622	0.060809
553.61	6.4614	41.601	0.024038	22.171	22.326	55.356	55.559	95.435	1010.3	0.10981	93.367	0.58041	0.018885	1.8551	0.53906	46.587	50.070	105.47	49.633	91.776	491.71	12.611	18.650	0.061074
554.24	6.5223	41.539	0.024074	22.228	22.385	55.460	55.537	95.643	1007.3	0.11255	93.121	0.57958	0.018739	1.8743	0.53352	46.578	50.057	105.39	49.750	92.299	491.43	12.550	18.677	0.061341
554.86	6.5836	41.477	0.024110	22.286	22.444	55.563	55.516	95.855	1004.2	0.11532	92.876	0.57875	0.018594	1.8938	0.52804	46.568	50.044	105.31	49.867	92.828	491.13	12.489	18.705	0.061610
555.48	6.6453	41.415	0.024146	22.343	22.503	55.667	55.494	96.069	1001.1	0.11813	92.631	0.57791	0.018448	1.9135	0.52261	46.558	50.030	105.22	49.984	93.363	490.84	12.428	18.732	0.061882
556.10	6.7075	41.353	0.024182	22.400	22.563	55.771	55.473	96.287	998.06	0.12096	92.387	0.57707	0.018303	1.9333	0.51725	46.547	50.017	105.14	50.102	93.906	490.54	12.368	18.760	0.062157
556.73	6.7701	41.290	0.024219	22.458	22.622	55.875	55.452	96.507	994.97	0.12384	92.143	0.57623	0.018158	1.9534	0.51194	46.537	50.003	105.06	50.220	94.455	490.24	12.308	18.788	0.062434
557.35	6.8332	41.227	0.024256	22.516	22.681	55.979	55.432	96.730	991.86	0.12674	91.900	0.57538	0.018012	1.9736	0.50669	46.526	49.988	104.97	50.338	95.012	489.93	12.248	18.816	0.062714
557.97	6.8967	41.164	0.024293	22.573	22.741	56.083	55.411	96.956	988.74	0.12968	91.657	0.57453	0.017867	1.9941	0.50149	46.515	49.974	104.89	50.458	95.576	489.62	12.188	18.844	0.062996
558.60	6.9607	41.100	0.024331	22.631	22.801	56.187	55.391	97.185	985.61	0.13266	91.414	0.57367	0.017722	2.0147	0.49635	46.504	49.959	104.81	50.577	96.147	489.30	12.129	18.872	0.063282
559.22	7.0251	41.036	0.024369	22.689	22.860	56.291	55.371	97.418	982.48	0.13568	91.172	0.57281	0.017577	2.0356	0.49126	46.493	49.944	104.72	50.697	96.726	488.98	12.070	18.901	0.063570
559.84	7.0900	40.972	0.024407	22.747	22.920	56.396	55.352	97.653	979.33	0.13873	90.931	0.57195	0.017432	2.0567	0.48622	46.481	49.928	104.64	50.818	97.313	488.66	12.012	18.929	0.063861
560.47	7.1553	40.908	0.024445	22.806	22.980	56.500	55.332	97.892	976.17	0.14181	90.690	0.57109	0.017287	2.0780	0.48124	46.469	49.913	104.55	50.939	97.908	488.33	11.953	18.958	0.064155
561.09	7.2211	40.843	0.024484	22.864	23.041	56.604	55.313	98.135	973.00	0.14494	90.449	0.57022	0.017142	2.0995	0.47631	46.458	49.897	104.47	51.060	98.511	488.00	11.895	18.987	0.064452
561.71	7.2873	40.778	0.024523	22.922	23.101	56.709	55.294	98.380	969.81	0.14811	90.209	0.56934	0.016998	2.1212	0.47143	46.445	49.881	104.38	51.183	99.122	487.67	11.837	19.016	0.064753
562.34	7.3541	40.713	0.024562	22.981	23.161	56.813	55.276	98.629	966.62	0.15131	89.969	0.56847	0.016853	2.1432	0.46660	46.433	49.865	104.30	51.305	99.741	487.33	11.780	19.045	0.065056
562.96	7.4212	40.647	0.024602	23.039	23.222	56.918	55.257	98.882	963.42	0.15455	89.729	0.56759	0.016708	2.1653	0.46182	46.421	49.848	104.21	51.428	100.37	486.98	11.722	19.074	0.065363
563.58	7.4889	40.581	0.024642	23.098	23.282	57.023	55.239	99.138	960.20	0.15784	89.490	0.56670	0.016564	2.1877	0.45709	46.408	49.831	104.13	51.552	101.01	486.63	11.665	19.104	0.065672
564.21	7.5570	40.515	0.024682	23.157	23.343	57.128	55.221	99.398	956.98	0.16117	89.251	0.56581	0.016420	2.2104	0.45241	46.395	49.814	104.04	51.676	101.65	486.28	11.609	19.133	0.065986
564.83	7.6256	40.448	0.024723	23.216	23.404	57.232	55.204	99.662	953.74	0.16454	89.013	0.56492	0.016275	2.2333	0.44778	46.382	49.796	103.96	51.801	102.31	485.92	11.552	19.163	0.066302
565.45	7.6947	40.382	0.024764	23.275	23.465	57.337	55.187	99.930	950.49	0.16795	88.775	0.56403	0.016131	2.2564	0.44319	46.368	49.779	103.87	51.926	102.97	485.56	11.496	19.193	0.066623
566.08	7.7642	40.314	0.024805	23.334	23.526	57.443	55.170	100.20	947.23	0.17141	88.537	0.56313	0.015987	2.2797	0.43865	46.355	49.761	103.79	52.052	103.65	485.20	11.440	19.223	0.066946
566.70	7.8343	40.247	0.024847	23.393	23.588	57.548	55.153	100.48	943.96	0.17491	88.299	0.56222	0.015843	2.3033	0.43416	46.341	49.742	103.70	52.178	104.33	484.83	11.384	19.254	0.067274
